raw_log,timestamp,user_id,transaction_type,amount,currency,location,device,is_parsed,parse_errors,amount_raw,hour,day_of_week,is_weekend
12/07/2025 10:44:50 ::: user1041 *** DEPOSIT ::: amt:2723.27€ @ Liverpool <Huawei P30>,2025-07-12 10:44:50,user1041,deposit,2723.27,£,Liverpool,Huawei P30,True,,2723.27,10,5,True
2025-06-28 22:20:18 - user=user1011 - action=withdrawal $830.45 - ATM: Cardiff - device=Xiaomi Mi 11,2025-06-28 22:20:18,user1011,withdrawal,622.84,$,Cardiff,Xiaomi Mi 11,True,,830.45,22,5,True
2025-07-03 20:35:13 - user=user1072 - action=refund $3498.97 - ATM: None - device=Xiaomi Mi 11,2025-07-03 20:35:13,user1072,refund,2624.23,$,,Xiaomi Mi 11,True,,3498.97,20,3,False
usr:user1087|withdrawal|€4447.23|Birmingham|2025-07-10 09:46:29|None,2025-07-10 09:46:29,user1087,withdrawal,3869.09,€,Birmingham,,True,,4447.23,9,3,False
usr:user1028|deposit|€1145.39|London|2025-06-08 02:44:07|Nokia 3310,2025-06-08 02:44:07,user1028,deposit,996.49,€,London,Nokia 3310,True,,1145.39,2,6,True
30/06/2025 15:12:58 ::: user1089 *** CASHOUT ::: amt:1667.21€ @ Manchester <Nokia 3310>,2025-06-30 15:12:58,user1089,cashout,1667.21,£,Manchester,Nokia 3310,True,,1667.21,15,0,False
user1013 2025-06-22 11:53:23 debit 441.21 Birmingham iPhone 13,2025-06-22 11:53:23,user1013,debit,441.21,£,Birmingham,iPhone,True,,441.21,11,6,True
2025-06-22 13:29:45 | user: user1031 | txn: withdrawal of €3288.64 from None | device: Xiaomi Mi 11,2025-06-22 13:29:45,user1031,withdrawal,2861.12,€,,Xiaomi Mi 11,True,,3288.64,13,6,True
2025-06-28 13:15:51 | user: user1048 | txn: top-up of $3113.55 from None | device: Nokia 3310,2025-06-28 13:15:51,user1048,top-up,2335.16,$,,Nokia 3310,True,,3113.55,13,5,True
14/07/2025 07:25:41 ::: user1028 *** WITHDRAWAL ::: amt:4865.76€ @ Glasgow <Pixel 6>,2025-07-14 07:25:41,user1028,withdrawal,4865.76,£,Glasgow,Pixel 6,True,,4865.76,7,0,False
2025-07-06 17:06:51 - user=user1035 - action=withdrawal £2761.7 - ATM: Glasgow - device=Nokia 3310,2025-07-06 17:06:51,user1035,withdrawal,2761.7,£,Glasgow,Nokia 3310,True,,2761.7,17,6,True
usr:user1027|deposit|£3238.9|None|2025-07-11 13:23:12|Pixel 6,2025-07-11 13:23:12,user1027,deposit,3238.9,£,,Pixel 6,True,,3238.9,13,4,False
2025-06-02 15:59:28 - user=user1046 - action=transfer €1918.55 - ATM: Liverpool - device=Nokia 3310,2025-06-02 15:59:28,user1046,transfer,1669.14,€,Liverpool,Nokia 3310,True,,1918.55,15,0,False
2025-07-27 20:16:34 | user: user1005 | txn: cashout of €1700.04 from Cardiff | device: Nokia 3310,2025-07-27 20:16:34,user1005,cashout,1479.03,€,Cardiff,Nokia 3310,True,,1700.04,20,6,True
05/06/2025 12:32:35 ::: user1029 *** REFUND ::: amt:4187.54€ @ None <Nokia 3310>,2025-06-05 12:32:35,user1029,refund,4187.54,,,Nokia 3310,True,,4187.54,12,3,False
2025-07-05 01:37:09::user1040::debit::1726.27::Leeds::Xiaomi Mi 11,2025-07-05 01:37:09,user1040,debit,1726.27,£,Leeds,Xiaomi Mi 11,True,,1726.27,1,5,True
2025-06-02 08:27:39::user1048::purchase::2859.42::Leeds::iPhone 13,2025-06-02 08:27:39,user1048,purchase,2859.42,£,Leeds,iPhone 13,True,,2859.42,8,0,False
14/07/2025 04:24:04 ::: user1038 *** DEBIT ::: amt:3526.43$ @ Leeds <Pixel 6>,2025-07-14 04:24:04,user1038,debit,3526.43,£,Leeds,Pixel 6,True,,3526.43,4,0,False
2025-07-10 16:01:13 - user=user1082 - action=withdrawal €632.11 - ATM: Birmingham - device=Nokia 3310,2025-07-10 16:01:13,user1082,withdrawal,549.94,€,Birmingham,Nokia 3310,True,,632.11,16,3,False
29/06/2025 04:19:16 ::: user1029 *** DEPOSIT ::: amt:2630.23$ @ London <Pixel 6>,2025-06-29 04:19:16,user1029,deposit,2630.23,£,London,Pixel 6,True,,2630.23,4,6,True
user1088 2025-07-20 22:06:28 transfer 375.07 Birmingham None,2025-07-20 22:06:28,user1088,transfer,375.07,£,Birmingham,,True,,375.07,22,6,True
2025-07-20 18:01:06 - user=user1054 - action=withdrawal £3087.68 - ATM: Cardiff - device=Samsung Galaxy S10,2025-07-20 18:01:06,user1054,withdrawal,3087.68,£,Cardiff,Samsung Galaxy S10,True,,3087.68,18,6,True
13/07/2025 06:07:32 ::: user1007 *** DEPOSIT ::: amt:3802.09€ @ Manchester <Xiaomi Mi 11>,2025-07-13 06:07:32,user1007,deposit,3802.09,£,Manchester,Xiaomi Mi 11,True,,3802.09,6,6,True
2025-07-22 07:02:09 | user: user1055 | txn: refund of £4517.22 from Birmingham | device: Nokia 3310,2025-07-22 07:02:09,user1055,refund,4517.22,£,Birmingham,Nokia 3310,True,,4517.22,7,1,False
user1010 2025-06-14 17:47:12 top-up 1874.83 Glasgow None,2025-06-14 17:47:12,user1010,top-up,1874.83,£,Glasgow,,True,,1874.83,17,5,True
2025-06-26 08:30:06 >> [user1065] did transfer - amt=£850.75 - Leeds // dev:None,2025-06-26 08:30:06,user1065,transfer,850.75,£,Leeds,,True,,850.75,8,3,False
usr:user1058|transfer|€1161.71|Cardiff|2025-07-02 04:31:41|Xiaomi Mi 11,2025-07-02 04:31:41,user1058,transfer,1010.69,€,Cardiff,Xiaomi Mi 11,True,,1161.71,4,2,False
user1043 2025-07-24 23:20:22 deposit 2209.21 Cardiff Pixel 6,2025-07-24 23:20:22,user1043,deposit,2209.21,£,Cardiff,Pixel,True,,2209.21,23,3,False
usr:user1083|purchase|$1907.44|Cardiff|2025-06-11 15:14:24|Pixel 6,2025-06-11 15:14:24,user1083,purchase,1430.58,$,Cardiff,Pixel 6,True,,1907.44,15,2,False
2025-07-22 14:06:57 >> [user1098] did purchase - amt=$3035.72 - Glasgow // dev:Pixel 6,2025-07-22 14:06:57,user1098,purchase,2276.79,$,Glasgow,Pixel 6,True,,3035.72,14,1,False
2025-07-21 11:03:55 - user=user1048 - action=refund €3389.14 - ATM: Liverpool - device=Pixel 6,2025-07-21 11:03:55,user1048,refund,2948.55,€,Liverpool,Pixel 6,True,,3389.14,11,0,False
2025-07-16 11:09:32::user1059::withdrawal::1545.36::London::None,2025-07-16 11:09:32,user1059,withdrawal,1545.36,£,London,,True,,1545.36,11,2,False
user1064 2025-06-01 19:00:00 transfer 451.58 Birmingham Pixel 6,2025-06-01 19:00:00,user1064,transfer,451.58,£,Birmingham,Pixel,True,,451.58,19,6,True
2025-07-11 07:02:48::user1008::transfer::1285.59::Cardiff::Pixel 6,2025-07-11 07:02:48,user1008,transfer,1285.59,£,Cardiff,Pixel 6,True,,1285.59,7,4,False
user1069 2025-07-11 02:37:15 debit 4814.5 Glasgow Nokia 3310,2025-07-11 02:37:15,user1069,debit,4814.5,£,Glasgow,Nokia,True,,4814.5,2,4,False
user1028 2025-07-11 05:36:37 debit 1843.56 Cardiff None,2025-07-11 05:36:37,user1028,debit,1843.56,£,Cardiff,,True,,1843.56,5,4,False
usr:user1020|purchase|€3238.61|None|2025-07-17 08:46:01|Pixel 6,2025-07-17 08:46:01,user1020,purchase,2817.59,€,,Pixel 6,True,,3238.61,8,3,False
2025-06-01 23:12:15 - user=user1081 - action=cashout €2937.11 - ATM: Liverpool - device=Xiaomi Mi 11,2025-06-01 23:12:15,user1081,cashout,2555.29,€,Liverpool,Xiaomi Mi 11,True,,2937.11,23,6,True
2025-07-23 21:34:21::user1050::cashout::4695.33::London::Pixel 6,2025-07-23 21:34:21,user1050,cashout,4695.33,£,London,Pixel 6,True,,4695.33,21,2,False
2025-06-06 03:51:35::user1093::debit::2224.03::Birmingham::iPhone 13,2025-06-06 03:51:35,user1093,debit,2224.03,£,Birmingham,iPhone 13,True,,2224.03,3,4,False
2025-06-27 10:35:42::user1003::purchase::3208.88::London::iPhone 13,2025-06-27 10:35:42,user1003,purchase,3208.88,£,London,iPhone 13,True,,3208.88,10,4,False
15/06/2025 21:30:12 ::: user1033 *** PURCHASE ::: amt:4065.45£ @ Birmingham <Nokia 3310>,2025-06-15 21:30:12,user1033,purchase,4065.45,£,Birmingham,Nokia 3310,True,,4065.45,21,6,True
usr:user1020|withdrawal|£1387.1|Liverpool|2025-07-07 22:10:59|None,2025-07-07 22:10:59,user1020,withdrawal,1387.1,£,Liverpool,,True,,1387.1,22,0,False
2025-06-24 03:01:06::user1097::deposit::3305.63::Liverpool::iPhone 13,2025-06-24 03:01:06,user1097,deposit,3305.63,£,Liverpool,iPhone 13,True,,3305.63,3,1,False
user1010 2025-07-16 14:14:11 top-up 79.89 London Samsung Galaxy S10,2025-07-16 14:14:11,user1010,top-up,79.89,£,London,Samsung,True,,79.89,14,2,False
2025-07-12 21:06:52::user1068::deposit::3728.58::None::Nokia 3310,2025-07-12 21:06:52,user1068,deposit,3728.58,,,Nokia 3310,True,,3728.58,21,5,True
user1012 2025-07-30 14:35:19 debit 3217.06 London Xiaomi Mi 11,2025-07-30 14:35:19,user1012,debit,3217.06,£,London,Xiaomi,True,,3217.06,14,2,False
2025-06-07 00:53:15::user1098::deposit::2451.85::Manchester::iPhone 13,2025-06-07 00:53:15,user1098,deposit,2451.85,£,Manchester,iPhone 13,True,,2451.85,0,5,True
2025-06-17 12:08:53 - user=user1010 - action=debit $2528.25 - ATM: Manchester - device=Nokia 3310,2025-06-17 12:08:53,user1010,debit,1896.19,$,Manchester,Nokia 3310,True,,2528.25,12,1,False
usr:user1034|cashout|$3648.33|Leeds|2025-06-04 09:30:01|Huawei P30,2025-06-04 09:30:01,user1034,cashout,2736.25,$,Leeds,Huawei P30,True,,3648.33,9,2,False
2025-06-24 11:36:21 - user=user1021 - action=transfer $3434.42 - ATM: Manchester - device=iPhone 13,2025-06-24 11:36:21,user1021,transfer,2575.82,$,Manchester,iPhone 13,True,,3434.42,11,1,False
03/07/2025 13:33:45 ::: user1003 *** CASHOUT ::: amt:483.73€ @ Birmingham <Nokia 3310>,2025-07-03 13:33:45,user1003,cashout,483.73,£,Birmingham,Nokia 3310,True,,483.73,13,3,False
2025-06-03 01:59:17 - user=user1028 - action=withdrawal €2932.74 - ATM: Birmingham - device=Pixel 6,2025-06-03 01:59:17,user1028,withdrawal,2551.48,€,Birmingham,Pixel 6,True,,2932.74,1,1,False
usr:user1071|top-up|$4368.16|London|2025-06-23 04:21:57|Huawei P30,2025-06-23 04:21:57,user1071,top-up,3276.12,$,London,Huawei P30,True,,4368.16,4,0,False
usr:user1068|deposit|€1751.22|Birmingham|2025-06-04 23:46:12|iPhone 13,2025-06-04 23:46:12,user1068,deposit,1523.56,€,Birmingham,iPhone 13,True,,1751.22,23,2,False
usr:user1011|purchase|€4036.3|London|2025-07-31 09:23:03|None,2025-07-31 09:23:03,user1011,purchase,3511.58,€,London,,True,,4036.3,9,3,False
2025-06-02 01:01:20 | user: user1017 | txn: transfer of $1367.08 from Birmingham | device: Huawei P30,2025-06-02 01:01:20,user1017,transfer,1025.31,$,Birmingham,Huawei P30,True,,1367.08,1,0,False
2025-06-25 15:47:34 | user: user1013 | txn: transfer of $2832.04 from Manchester | device: Samsung Galaxy S10,2025-06-25 15:47:34,user1013,transfer,2124.03,$,Manchester,Samsung Galaxy S10,True,,2832.04,15,2,False
2025-07-22 05:52:30::user1003::purchase::1881.6::Birmingham::Samsung Galaxy S10,2025-07-22 05:52:30,user1003,purchase,1881.6,£,Birmingham,Samsung Galaxy S10,True,,1881.6,5,1,False
03/07/2025 02:28:15 ::: user1035 *** TOP-UP ::: amt:3884.4€ @ Manchester <iPhone 13>,2025-07-03 02:28:15,user1035,top,3884.4,£,Manchester,iPhone 13,True,,3884.4,2,3,False
user1043 2025-07-20 04:44:32 withdrawal 3370.17 None Pixel 6,2025-07-20 04:44:32,user1043,withdrawal,3370.17,,,Pixel,True,,3370.17,4,6,True
